Date,GEO,Sex,Characteristics,Estimates,UOM,VALUE
2017/2018,Saskatchewan,Females,"At least post-secondary education, household education",Percentage of persons,Percent,38.1
2017/2018,Saskatchewan,Females,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,35
2017/2018,Saskatchewan,Females,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,41.4
2017/2018,Saskatchewan,Females,"Lowest income, household income",Number of persons,Number,73500
2017/2018,Saskatchewan,Females,"Lowest income, household income",Percentage of persons,Percent,46.1
2017/2018,Saskatchewan,Females,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,41.7
2017/2018,Saskatchewan,Females,"Lowest income, household income","High 95% confidence interval, percentage",Percent,50.6
2017/2018,Saskatchewan,Females,"Middle income, household income",Number of persons,Number,61700
2017/2018,Saskatchewan,Females,"Middle income, household income",Percentage of persons,Percent,43.4
2017/2018,Saskatchewan,Females,"Middle income, household income","Low 95% confidence interval, percentage",Percent,38.3
2017/2018,Saskatchewan,Females,"Middle income, household income","High 95% confidence interval, percentage",Percent,48.7
2017/2018,Saskatchewan,Females,"Highest income, household income",Number of persons,Number,38700
2017/2018,Saskatchewan,Females,"Highest income, household income",Percentage of persons,Percent,32.9
2017/2018,Saskatchewan,Females,"Highest income, household income","Low 95% confidence interval, percentage",Percent,28.7
2017/2018,Saskatchewan,Females,"Highest income, household income","High 95% confidence interval, percentage",Percent,37.4
2017/2018,Saskatchewan,Females,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,20200
2017/2018,Saskatchewan,Females,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,32.5
2017/2018,Saskatchewan,Females,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,25.7
2017/2018,Saskatchewan,Females,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,40.1
2017/2018,Saskatchewan,Females,"Non-immigrants, immigrant status",Number of persons,Number,153700
2017/2018,Saskatchewan,Females,"Non-immigrants, immigrant status",Percentage of persons,Percent,43.1
2017/2018,Saskatchewan,Females,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,40.2
2017/2018,Saskatchewan,Females,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,46
2017/2018,Saskatchewan,Females,"Visible minority, visible minority or Indigenous",Number of persons,Number,15500
2017/2018,Saskatchewan,Females,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,30.5
2017/2018,Saskatchewan,Females,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,22.3
2017/2018,Saskatchewan,Females,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,40.1
2017/2018,Saskatchewan,Females,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,18200
2017/2018,Saskatchewan,Females,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,41.6
2017/2018,Saskatchewan,Females,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,32.9
2017/2018,Saskatchewan,Females,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,50.8
2017/2018,Saskatchewan,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,139500
2017/2018,Saskatchewan,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,43.2
2017/2018,Saskatchewan,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,40.1
2017/2018,Saskatchewan,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,46.4
2017/2018,Saskatchewan,Females,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Saskatchewan,Females,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Saskatchewan,Females,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Saskatchewan,Females,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Alberta,Both sexes,"Total, selected characteristics",Number of persons,Number,1216700
2017/2018,Alberta,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,36.7
2017/2018,Alberta,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,35.5
2017/2018,Alberta,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,38
2017/2018,Alberta,Both sexes,"High school or less, household education",Number of persons,Number,262800
2017/2018,Alberta,Both sexes,"High school or less, household education",Percentage of persons,Percent,46.8
2017/2018,Alberta,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,43.8
2017/2018,Alberta,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,49.8
2017/2018,Alberta,Both sexes,"At least post-secondary education, household education",Number of persons,Number,899500
2017/2018,Alberta,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,34.4
2017/2018,Alberta,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,33.1
2017/2018,Alberta,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,35.8
2017/2018,Alberta,Both sexes,"Lowest income, household income",Number of persons,Number,433900
2017/2018,Alberta,Both sexes,"Lowest income, household income",Percentage of persons,Percent,39.3
2017/2018,Alberta,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,37.2
2017/2018,Alberta,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,41.5
2017/2018,Alberta,Both sexes,"Middle income, household income",Number of persons,Number,420200
2017/2018,Alberta,Both sexes,"Middle income, household income",Percentage of persons,Percent,38.1
2017/2018,Alberta,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,35.8
2017/2018,Alberta,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,40.4
2017/2018,Alberta,Both sexes,"Highest income, household income",Number of persons,Number,362700
2017/2018,Alberta,Both sexes,"Highest income, household income",Percentage of persons,Percent,32.8
2017/2018,Alberta,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,30.7
2017/2018,Alberta,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,35.1
2017/2018,Alberta,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,304600
2017/2018,Alberta,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,33.9
2017/2018,Alberta,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,31.1
2017/2018,Alberta,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,36.7
2017/2018,Alberta,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,912200
2017/2018,Alberta,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,37.8
2017/2018,Alberta,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,36.3
2017/2018,Alberta,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,39.3
2017/2018,Alberta,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,229000
2017/2018,Alberta,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,30
2017/2018,Alberta,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,27.1
2017/2018,Alberta,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,33.1
2017/2018,Alberta,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,61000
2017/2018,Alberta,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,40.4
2017/2018,Alberta,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,35.4
2017/2018,Alberta,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,45.7
2017/2018,Alberta,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,912900
2017/2018,Alberta,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,38.7
2017/2018,Alberta,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,37.3
2017/2018,Alberta,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,40.1
2017/2018,Alberta,Both sexes,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Alberta,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Alberta,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Alberta,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Alberta,Males,"Total, selected characteristics",Number of persons,Number,657500
2017/2018,Alberta,Males,"Total, selected characteristics",Percentage of persons,Percent,39.3
2017/2018,Alberta,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,37.6
